name,sku,category,base_price,current_price,cost_price,stock_quantity,revenue,status,image_url,description
Phone Stand,SKU-EC-007,Accessories,19.99,19.99,8.0,800,15992.0,active,,Adjustable aluminum phone stand
Cable Management Box,SKU-EC-008,Office,29.99,29.99,12.0,350,10496.5,active,,Large cable management box
LED Strip Lights,SKU-EC-009,Home Decor,22.99,22.99,9.0,650,14943.5,active,,Smart LED strip lights 16ft
Ergonomic Foot Rest,SKU-EC-010,Office,34.99,34.99,15.0,420,14695.8,active,,Adjustable ergonomic foot rest
Laptop Stand,SKU-EC-011,Office,39.99,39.99,16.0,380,15196.2,active,,Adjustable aluminum laptop stand
Desk Mat,SKU-EC-012,Office,19.99,19.99,8.0,550,10994.5,active,,Large waterproof desk mat
Cable Ties Set,SKU-EC-014,Office,9.99,9.99,3.5,1500,14985.0,active,,Reusable cable ties 10-pack
Travel Router,SKU-EC-016,Electronics,44.99,44.99,20.0,180,8098.2,active,,Portable travel WiFi router
Whiteboard,SKU-EC-017,Office,29.99,29.99,12.0,250,7497.5,active,,Magnetic dry erase whiteboard 36x24
Headphone Stand,SKU-EC-018,Accessories,16.99,16.99,7.0,600,10194.0,active,,Aluminum headphone stand with USB hub
Document Scanner,SKU-EC-019,Office,109.99,109.99,50.0,100,10999.0,active,,Portable document scanner
Desk Fan,SKU-EC-020,Office,25.99,25.99,11.0,400,10396.0,active,,Quiet USB desk fan
Monitor Light Bar,SKU-EC-015,Office,69.99,97.99,30.0,200,13998.0,active,,LED monitor light bar with auto-dimming
Organic T-Shirt,SKU-RT-001,Apparel,24.99,24.99,12.5,150,0,active,,Comfortable organic cotton t-shirt
Standing Desk,SKU-RT-014,Furniture,349.99,349.99,180.0,40,0,active,,Electric height-adjustable standing desk
Plant Pot Set,SKU-RT-015,Home Decor,29.99,29.99,12.0,130,0,active,,Ceramic plant pot set of 3
Protein Powder,SKU-RT-016,Fitness,44.99,44.99,22.0,300,0,active,,Whey protein powder 2lb
Board Game,SKU-RT-017,Toys & Games,39.99,39.99,18.0,95,0,active,,Strategy board game for 2-6 players
Throw Blanket,SKU-RT-018,Home Decor,34.99,34.99,14.0,110,0,active,,Soft microfiber throw blanket
Electric Kettle,SKU-RT-019,Home Appliances,29.99,29.99,13.0,200,0,active,,Stainless steel electric kettle
Yoga Blocks,SKU-RT-020,Fitness,16.99,16.99,7.0,180,0,active,,Set of 2 cork yoga blocks
Coffee Maker,SKU-RT-008,Home Appliances,54.99,54.99,28.0,120,0,active,,12-cup programmable coffee maker
Yoga Mat,SKU-RT-007,Fitness,34.99,34.99,15.0,250,0,active,,Eco-friendly non-slip yoga mat
Bluetooth Speaker,SKU-RT-006,Electronics,59.99,59.99,30.0,180,0,active,,Portable waterproof bluetooth speaker
Smart Watch,SKU-RT-005,Electronics,199.99,199.99,110.0,75,0,active,,Fitness tracking smart watch
Leather Wallet,SKU-RT-004,Accessories,39.99,39.99,20.0,300,0,active,,Genuine leather bifold wallet
Running Shoes,SKU-RT-003,Footwear,99.99,99.99,55.0,200,0,active,,Lightweight running shoes with cushioning
Denim Jacket,SKU-RT-002,Apparel,79.99,79.99,45.0,80,0,active,,Classic denim jacket with modern fit
Wireless Earbuds,SKU-RT-013,Electronics,119.99,119.99,55.0,210,0,active,,Noise-cancelling wireless earbuds
Winter Coat,SKU-RT-012,Apparel,149.99,149.99,80.0,60,0,active,,Insulated winter coat with hood
Sunglasses,SKU-RT-011,Accessories,129.99,129.99,65.0,85,0,active,,Polarized aviator sunglasses
Backpack,SKU-RT-010,Accessories,55.99,55.99,28.0,160,0,active,,Water-resistant laptop backpack
Desk Lamp,SKU-RT-009,Home Decor,39.99,39.99,18.0,90,0,active,,LED desk lamp with adjustable brightness
